name|netacuity_id|targeting_tag|state_id
Abbigere|863098|CITY_ABBIGERE|52010011
Agasteeswaram|664991|CITY_AGASTEESWARAM|52010036
Dangarvada|887452|CITY_DANGARVADA|52010002
Vadod|966168|CITY_VADOD|52010002
Kurla West|921730|CITY_KURLA_WEST|52001320
Kistaram|1349543|CITY_KISTARAM|52033962
Pulivendla|945477|CITY_PULIVENDLA|52009994
Madanpura|1352801|CITY_MADANPURA|52010044
Basantapur|1355532|CITY_BASANTAPUR|52001309
Madna|925594|CITY_MADNA|52001309
Gollapalle|897694|CITY_GOLLAPALLE|52009994
Kovilancheri|920004|CITY_KOVILANCHERI|52010036
Baluahi|870571|CITY_BALUAHI|52009998
Allipuram|864794|CITY_ALLIPURAM|52009994
Rajpur|1336949|CITY_RAJPUR|52010002
Dehu|741691|CITY_DEHU|52001320
Birpur|1355568|CITY_BIRPUR|52001309
Agraharapulaveri|863703|CITY_AGRAHARAPULAVERI|52010036
Putteri|946196|CITY_PUTTERI|52009994
Taliparamba|726297|CITY_TALIPARAMBA|52010018
Shilaj|664958|CITY_SHILAJ|52010002
Rajajinagar|946897|CITY_RAJAJINAGAR|52010036
Govindpura|898462|CITY_GOVINDPURA|52010035
Muralinagar|933427|CITY_MURALINAGAR|52009994
Madhavaram|1349921|CITY_MADHAVARAM|52010036
Lohara|924511|CITY_LOHARA|52001320
Bibipur|878409|CITY_BIBIPUR|52010044
Tiswadi|664954|CITY_TISWADI|52023819
Shahpur|741265|CITY_SHAHPUR|52010002
Bhakhera|875815|CITY_BHAKHERA|52010035
Chandrapuram|882851|CITY_CHANDRAPURAM|52010036
Kaliganj|1355695|CITY_KALIGANJ|52001309
Santoshpur|726661|CITY_SANTOSHPUR|52001309
Kakkivadanpatti|908644|CITY_KAKKIVADANPATTI|52010036
Shahganj|955214|CITY_SHAHGANJ|52010044
Tilpat|963365|CITY_TILPAT|52010008
Railapur|946706|CITY_RAILAPUR|52033962
Kamatampalle|909868|CITY_KAMATAMPALLE|52009994
Janki Nagar|905192|CITY_JANKI_NAGAR|52010044
Sadar Bazar|950411|CITY_SADAR_BAZAR|52010044
Ghola|1355634|CITY_GHOLA|52001309
Firozpur|1351518|CITY_FIROZPUR|52010044
Jitarpur|906859|CITY_JITARPUR|52001309
Cherlopalle|883988|CITY_CHERLOPALLE|52009994
Lakshmapur|923142|CITY_LAKSHMAPUR|52033962
Nutangram|938397|CITY_NUTANGRAM|52001309
Vennur|967118|CITY_VENNUR|52010018
Chityala|885784|CITY_CHITYALA|52033962
Gopal Chak|897914|CITY_GOPAL_CHAK|52001309
Tandur|726517|CITY_TANDUR|52033962
Chunja|886237|CITY_CHUNJA|52024787
Vijayapura|745720|CITY_VIJAYAPURA|52010011
Dalan|886995|CITY_DALAN|52009998
Mannivakkam|929093|CITY_MANNIVAKKAM|52010036
Ranipur|1353815|CITY_RANIPUR|52010044
Salua|951840|CITY_SALUA|52001309
Chamla|882336|CITY_CHAMLA|52010002
Aklimpur|864325|CITY_AKLIMPUR|52010008
Surai|1342385|CITY_SURAI|52001320
Mukundapur|932904|CITY_MUKUNDAPUR|52001309
Chamaon|882224|CITY_CHAMAON|52010044
Phursungi|943798|CITY_PHURSUNGI|52001320
Wanjarwadi|967629|CITY_WANJARWADI|52001320
Anora|1350136|CITY_ANORA|52010044
Radhakantapur|946337|CITY_RADHAKANTAPUR|52001309
Nagziri|934958|CITY_NAGZIRI|52001320
Tentulia|1355921|CITY_TENTULIA|52001309
Raja Bazar|946836|CITY_RAJA_BAZAR|52010044
Bagiamau|868909|CITY_BAGIAMAU|52010044
Kharaura|915645|CITY_KHARAURA|52010044
Vemulakota|966990|CITY_VEMULAKOTA|52009994
Maidan Garhi|926597|CITY_MAIDAN_GARHI|52009999
Nagla Chhinga|934481|CITY_NAGLA_CHHINGA|52010044
Umedpura|965376|CITY_UMEDPURA|52010002
Mandapadu|928250|CITY_MANDAPADU|52009994
Maduravoyal|925653|CITY_MADURAVOYAL|52010036
Pocharam|944759|CITY_POCHARAM|52033962
Malayambakkam|927363|CITY_MALAYAMBAKKAM|52010036
Mallikpur|927737|CITY_MALLIKPUR|52001309
Ayyawarpalli|867913|CITY_AYYAWARPALLI|52033962
Bommanakatte|880223|CITY_BOMMANAKATTE|52010011
Ambli|664955|CITY_AMBLI|52010002
Seelampur|954434|CITY_SEELAMPUR|52009999
Bironda|879497|CITY_BIRONDA|52010044
Hanumanpura|1336709|CITY_HANUMANPURA|52010002
Gokulpur|1355645|CITY_GOKULPUR|52001309
Semmandalam|954700|CITY_SEMMANDALAM|52010036
Kamda Hari|909923|CITY_KAMDA_HARI|52001309
Paikpara|1355812|CITY_PAIKPARA|52001309
Abhirampur|863165|CITY_ABHIRAMPUR|52001309
Balagudaba|870024|CITY_BALAGUDABA|52009994
Tehare|961814|CITY_TEHARE|52001320
Ambapur|1336546|CITY_AMBAPUR|52010002
Shivaji Nagar|726354|CITY_SHIVAJI_NAGAR|52001320
Malewadi|927433|CITY_MALEWADI|52001320
Pahar Ganj|743587|CITY_PAHAR_GANJ|52009999
Melapuram|930916|CITY_MELAPURAM|52009994
Ayyanapalem|867887|CITY_AYYANAPALEM|52009994
Aruppukkottai|738154|CITY_ARUPPUKKOTTAI|52010036
Madhopur|1334533|CITY_MADHOPUR|52009998
Munirabad|1349664|CITY_MUNIRABAD|52033962
Morikkara|932286|CITY_MORIKKARA|52010018
Kadipur|1352105|CITY_KADIPUR|52010044
Bhikhapur|877352|CITY_BHIKHAPUR|52010044
Borpada|880506|CITY_BORPADA|52001320
Settikarai|955073|CITY_SETTIKARAI|52010036
Saykheda|954416|CITY_SAYKHEDA|52001320
Gopipur|1351689|CITY_GOPIPUR|52010044
Kotharia|1336811|CITY_KOTHARIA|52010002
Katha|1337733|CITY_KATHA|52024787
Aggondapalli|863658|CITY_AGGONDAPALLI|52010036
Kapsi|1341772|CITY_KAPSI|52001320
Ipurupalem|903169|CITY_IPURUPALEM|52009994
Palayur|939897|CITY_PALAYUR|52010036
Rasulgarh|948633|CITY_RASULGARH|52010030
Moti Bagh|741257|CITY_MOTI_BAGH|52009999
Victoriaganj|967194|CITY_VICTORIAGANJ|52010044
Kalapani|1344118|CITY_KALAPANI|52010027
Dharampura|1335537|CITY_DHARAMPURA|52028058
Natholi|936625|CITY_NATHOLI|52010031
Sadipur|1355868|CITY_SADIPUR|52001309
Nanmangalam|935910|CITY_NANMANGALAM|52010036
Sirsi|726254|CITY_SIRSI|52010011
Gollapudi|661390|CITY_GOLLAPUDI|52009994
Tallavalasa|960811|CITY_TALLAVALASA|52009994
Kaya|913775|CITY_KAYA|52001309
Lakshmipur|1355752|CITY_LAKSHMIPUR|52001309
Khidirpur|916517|CITY_KHIDIRPUR|52001309
Hirapur|1341650|CITY_HIRAPUR|52001320
Bhimrad|877495|CITY_BHIMRAD|52010002
Malkapur|726331|CITY_MALKAPUR|52001320
Somapura|958284|CITY_SOMAPURA|52010011
Boganapalli|880054|CITY_BOGANAPALLI|52010036
Vengavasal|726573|CITY_VENGAVASAL|52010036
Guwardi|899635|CITY_GUWARDI|52010035
Bhokara|877767|CITY_BHOKARA|52001320
Mopka|932178|CITY_MOPKA|52028058
Kattuvalasu|913517|CITY_KATTUVALASU|52010036
Herohalli|901712|CITY_HEROHALLI|52010011
Nallapadu|935416|CITY_NALLAPADU|52009994
Bagda|1355495|CITY_BAGDA|52001309
Jambhul|904602|CITY_JAMBHUL|52001320
Nandanpura|1353265|CITY_NANDANPURA|52010044
Rampara|947779|CITY_RAMPARA|52001309
Khand|915218|CITY_KHAND|52028102
Kheri Khurd|1338947|CITY_KHERI_KHURD|52010008
Dohak|1346822|CITY_DOHAK|52010031
Kumarigudem|920836|CITY_KUMARIGUDEM|52033962
Bellampalli|726497|CITY_BELLAMPALLI|52033962
Haripura|1348197|CITY_HARIPURA|52010035
Sodawas|958035|CITY_SODAWAS|52010035
Baganpara|868623|CITY_BAGANPARA|52001309
Motipura|1336887|CITY_MOTIPURA|52010002
Makhupur|927072|CITY_MAKHUPUR|52010044
Nadwa|1353212|CITY_NADWA|52010044
Ramachandrapalem|947405|CITY_RAMACHANDRAPALEM|52009994
Gagi|1339740|CITY_GAGI|52028057
Naganhalli|934186|CITY_NAGANHALLI|52010011
Nandgaon|741033|CITY_NANDGAON|52001320
Dadsia|886624|CITY_DADSIA|52010008
Raypur|1355863|CITY_RAYPUR|52001309
Sahota|950905|CITY_SAHOTA|52010031
Manoharpur|1355781|CITY_MANOHARPUR|52001309
Chirravuru|885578|CITY_CHIRRAVURU|52009994
Timmapur|1349833|CITY_TIMMAPUR|52033962
Mal Para|927194|CITY_MAL_PARA|52001309
