,city_smaller_name,netacuity_id_x,CITY-CODE,short_name,REGION,check_code
2939,bendamurlanka,594580,594580.0,ap,ap,True
2940,amminibada,594582,594582.0,ap,ap,True
2941,bamal,594589,594589.0,wb,wb,True
2942,bhadravaram,594596,594596.0,ap,ap,True
2943,amradikalan,594597,594597.0,ts,ts,True
2944,bamangachi,594607,594607.0,wb,wb,True
2945,amudalabanda,594613,594613.0,ap,ap,True
2946,bhaskarnagar,594615,594615.0,ap,ap,True
2947,bamangola,594625,594625.0,wb,wb,True
2948,anajpur,594628,594628.0,ts,ts,True
2949,bhatlamaguturu,594630,594630.0,ap,ap,True
2950,bamanhat,594641,594641.0,wb,wb,True
2951,anakarlapudi,594642,594642.0,ap,ap,True
2952,bhatnavilli,594647,594647.0,ap,ap,True
2953,g.durgapur,594657,594657.0,br,br,True
2954,bhimavarapukota,594660,594660.0,ap,ap,True
2955,bamanibad,594662,594662.0,wb,wb,True
2956,gabhirar,594669,594669.0,br,br,True
2957,bamankhali,594673,594673.0,wb,wb,True
2958,bhupathipalle,594677,594677.0,ap,ap,True
2959,gad bahuari,594685,594685.0,br,br,True
2960,bamanpara,594690,594690.0,wb,wb,True
2961,bhupatipalem,594691,594691.0,ap,ap,True
2962,gamaharia rampur,594704,,br,,False
2963,bamni,594708,594708.0,wb,wb,True
2964,bikkavolu,594711,594711.0,ap,ap,True
2965,billakurru,594720,594720.0,ap,ap,True
2966,bamunia,594724,594724.0,wb,wb,True
2967,bamunpukur,594734,594734.0,wb,wb,True
2968,garhia vijaypur,594736,594736.0,br,br,True
2969,billananduru,594739,594739.0,ap,ap,True
2970,banagram,594750,594750.0,wb,wb,True
2971,gariba tola,594751,,br,,False
2972,binginapalli,594758,594758.0,ap,ap,True
2973,banamalichatta,594764,594764.0,wb,wb,True
2974,gaunaha,594767,594767.0,br,br,True
2975,block area,594771,594771.0,ap,ap,True
2976,bobbarlanka,594786,594786.0,ap,ap,True
2977,gaura,594788,594788.0,br,br,True
2978,bandhuchak,594793,594793.0,wb,wb,True
2979,bodasakurru,594803,594803.0,ap,ap,True
2980,ghataro,594804,594804.0,br,br,True
2981,baneswarpur,594810,594810.0,wb,wb,True
2982,ghoghsam,594818,594818.0,br,br,True
2983,bodawada,594819,594819.0,ap,ap,True
2984,bangachhatra,594823,594823.0,wb,wb,True
2985,ghordaur,594832,594832.0,br,br,True
2986,bolledupalem,594835,594835.0,ap,ap,True
2987,bangchatra,594836,594836.0,wb,wb,True
2988,ghosi,594847,594847.0,br,br,True
2989,bommireddipalli,594849,594849.0,ap,ap,True
2990,bangitola,594854,594854.0,wb,wb,True
2991,golakpur dehuri,594863,594863.0,br,br,True
2992,bommuru,594865,594865.0,ap,ap,True
2993,banglani,594870,594870.0,wb,wb,True
2994,bompalli,594879,594879.0,ts,ts,True
2995,golma,594880,594880.0,br,br,True
2996,bangsabati,594883,594883.0,wb,wb,True
2997,bowenpally,594894,594894.0,ts,ts,True
2998,gordah,594895,594895.0,br,br,True
2999,bangur avenue,594899,594899.0,wb,wb,True
3000,bukkapuram,594909,594909.0,ap,ap,True
3001,goriari,594911,594911.0,br,br,True
3002,banior,594913,594913.0,wb,wb,True
3003,gorigama,594924,594924.0,br,br,True
3004,banipur,594927,594927.0,wb,wb,True
3005,burjupalle,594929,594929.0,ap,ap,True
3006,bankibheri,594940,594940.0,wb,wb,True
3007,gurmia,594942,594942.0,br,br,True
3008,burugupudi,594945,594945.0,ap,ap,True
3009,bankiput,594955,594955.0,wb,wb,True
3010,hafijzpur,594956,594956.0,br,br,True
3011,butchampeta,594961,594961.0,ap,ap,True
3012,banpur,594970,594970.0,wb,wb,True
3013,hansikewal,594971,594971.0,br,br,True
3014,cci tandur,594979,594979.0,ts,ts,True
3015,bansanka,594986,594986.0,wb,wb,True
3016,harewa,594989,594989.0,br,br,True
3017,chadalada,594994,594994.0,ap,ap,True
3018,bansbotey,595002,595002.0,wb,wb,True
3019,hushepur,595003,595003.0,br,br,True
3020,chakradwarabandam,595008,595008.0,ap,ap,True
3021,imirtha,595014,595014.0,br,br,True
3022,bansda palashi,595019,595019.0,wb,wb,True
3023,challapalli,595024,595024.0,ap,ap,True
3024,indrapuri,595030,595030.0,br,br,True
3025,bansdroni,595032,595032.0,wb,wb,True
3026,chamagadda,595040,595040.0,ap,ap,True
3027,itahari,595045,595045.0,br,br,True
3028,bansra,595049,595049.0,wb,wb,True
3029,chanchalpet,595054,595054.0,ts,ts,True
3030,jamal nagar,595061,595061.0,br,br,True
3031,bar dara,595065,595065.0,wb,wb,True
3032,chandanagar,595071,595071.0,ts,ts,True
3033,jamhara,595077,595077.0,br,br,True
3034,bara kul beria,595079,595079.0,wb,wb,True
3035,chatlawada,595087,595087.0,ap,ap,True
3036,jehanabad r.s.,595091,name change,br,,False
3037,baraalunda,595096,595096.0,wb,wb,True
3038,chavatapalem,595103,595103.0,ap,ap,True
3039,jigna parsa,595108,595108.0,br,br,True
3040,barabagan,595115,595115.0,wb,wb,True
3041,chelluru,595118,595118.0,ap,ap,True
3042,k.balua,595121,595121.0,br,br,True
3043,barabantalia,595132,595132.0,wb,wb,True
3044,chevuru,595133,595133.0,ap,ap,True
3045,kabira,595136,595136.0,br,br,True
3046,barabari south,595149,595149.0,wb,wb,True
3047,kachra karahia,595151,595151.0,br,br,True
3048,chinaramanayyapeta,595154,595154.0,ap,ap,True
3049,kaladumra,595165,595165.0,br,br,True
3050,barabhuniakhali,595168,595168.0,wb,wb,True
3051,chinasankaralapudi,595170,595170.0,ap,ap,True
3052,kanhaiya ganj,595180,595180.0,br,br,True
3053,barada bazar,595183,595183.0,wb,wb,True
3054,chinavenkannapalem,595185,595185.0,ap,ap,True
3055,kapasia,595197,595197.0,br,br,True
3056,baradhaperchatra,595198,595198.0,wb,wb,True
3057,chinmuppalapadu,595202,595202.0,ap,ap,True
3058,khajuri,595212,595212.0,br,br,True
3059,baradighi,595214,595214.0,wb,wb,True
3060,chinnagolkonda,595219,595219.0,ts,ts,True
3061,kharagpur,595225,595225.0,br,br,True
3062,baraibarh,595233,595233.0,wb,wb,True
3063,chinnipadu,595237,595237.0,ap,ap,True
3064,khojuri matihani,595240,595240.0,br,br,True
3065,barajaguli,595251,595251.0,wb,wb,True
3066,chintagumpalli,595255,595255.0,ap,ap,True
3067,khujhwa,595257,595257.0,br,br,True
3068,barakamarda,595267,595267.0,wb,wb,True
3069,chintalamori,595270,595270.0,ap,ap,True
3070,khuskibagh,595274,595274.0,br,br,True
3071,barakartickchungri,595285,595285.0,wb,wb,True
3072,chintalapalli,595286,595286.0,ap,ap,True
3073,koath,595289,595289.0,br,br,True
3074,barakashipur,595301,595301.0,wb,wb,True
3075,chintaluru,595304,595304.0,ap,ap,True
3076,koparia,595310,595310.0,br,br,True
3077,baram,595318,595318.0,wb,wb,True
3078,chintaplli,595321,595321.0,ap,ap,True
3079,koreya,595329,595329.0,br,br,True
3080,baranegui,595333,595333.0,wb,wb,True
3081,chirata pudi,595337,595337.0,ap,ap,True
3082,barapahari,595345,595345.0,wb,wb,True
3083,kundah,595348,595348.0,br,br,True
3084,chollangipeta,595352,595352.0,ap,ap,True
3085,barasakdal,595363,595363.0,wb,wb,True
3086,lagma deorhi,595364,595364.0,br,br,True
3087,choppella,595365,595365.0,ap,ap,True
3088,church square,595380,595380.0,ap,ap,True
3089,lakshminia,595381,595381.0,br,br,True
3090,baratala,595382,595382.0,wb,wb,True
3091,barati,595396,595396.0,wb,wb,True
3092,d.gannavaram,595397,595397.0,ap,ap,True
3093,m.kahra,595399,595399.0,br,br,True
3094,barbaria,595410,595410.0,wb,wb,True
3095,dammmennu,595414,595414.0,ap,ap,True
3096,mahishi,595417,595417.0,br,br,True
3097,barghasipur,595427,595427.0,wb,wb,True
3098,danavaipeta,595430,595430.0,ap,ap,True
3099,mahkhar,595434,595434.0,br,br,True
3100,bargoda,595446,595446.0,wb,wb,True
3101,maina,595451,595451.0,br,br,True
3102,devaguptam,595452,595452.0,ap,ap,True
3103,barha,595465,595465.0,wb,wb,True
3104,manglapur rajpur,595468,595468.0,br,br,True
3105,devipatnam,595471,595471.0,ap,ap,True
3106,barhansfartabad,595481,595481.0,wb,wb,True
3107,mangwar,595484,595484.0,br,br,True
3108,barhat,595491,595491.0,wb,wb,True
3109,dharamavaram,595492,595492.0,ap,ap,True
3110,manuar,595503,595503.0,br,br,True
3111,barhra,595506,595506.0,wb,wb,True
3112,dharur,595510,595510.0,ts,ts,True
3113,mirza nagar,595520,595520.0,br,br,True
3114,barijpur,595523,595523.0,wb,wb,True
3115,divili,595526,595526.0,ap,ap,True
3116,mobarakpur,595538,595538.0,br,br,True
3117,barmakhal,595539,595539.0,wb,wb,True
3118,doddigunta,595541,595541.0,ap,ap,True
3119,mokma,595554,595554.0,br,br,True
3120,barobisha,595555,595555.0,wb,wb,True
3121,donkarayi,595560,595560.0,ap,ap,True
3122,baroda,595570,148897.0,mp,mp,False
3123,doramamidi,595577,595577.0,ap,ap,True
3124,barodaldali,595586,595586.0,wb,wb,True
3125,pandui,595587,595587.0,br,br,True
3126,dosakayapalli,595589,595589.0,ap,ap,True
3127,parri,595602,595602.0,br,br,True
3128,baroj,595603,595603.0,wb,wb,True
3129,draksharamam,595607,595607.0,ap,ap,True
3130,pastpar,595618,595618.0,br,br,True
3131,barrackpore rs,595619,595619.0,wb,wb,True
3132,dulla,595623,595623.0,ap,ap,True
3133,barsal,595633,595633.0,wb,wb,True
3134,patarghat,595636,595636.0,br,br,True
3135,east gonagudem,595638,595638.0,ap,ap,True
3136,baruttarhingli,595648,595648.0,wb,wb,True
3137,purnea city,595651,,br,,False
3138,edavally,595655,595655.0,ap,ap,True
3139,basak bagan,595662,595662.0,wb,wb,True
3140,purwari telpa,595667,595667.0,br,br,True
3141,egalapadu,595671,595671.0,ap,ap,True
3142,basantia,595681,595681.0,wb,wb,True
3143,rahua,595682,595682.0,br,br,True
3144,epigunta,595685,595685.0,ap,ap,True
3145,basian,595695,595695.0,wb,wb,True
3146,rajanpur,595697,595697.0,br,br,True
3147,g kothapalli,595702,595702.0,ap,ap,True
3148,basirhat college,595711,595711.0,wb,wb,True
3149,rasuali,595713,595713.0,br,br,True
3150,g.mamidada,595718,595718.0,ap,ap,True
3151,basudebberia,595722,595722.0,wb,wb,True
3152,rauta,595727,595727.0,br,br,True
3153,g.moolapalem,595732,595732.0,ap,ap,True
3154,basudebpur,595737,595737.0,wb,wb,True
3155,saheban,595744,595744.0,br,br,True
3156,gachibowli,595746,595746.0,ts,ts,True
3157,basudevpur,595752,595752.0,wb,wb,True
3158,sahuria,595761,595761.0,br,br,True
3159,gadala,595762,595762.0,ap,ap,True
3160,basuli bazar,595766,595766.0,wb,wb,True
3161,salkhua bazar,595773,595773.0,br,br,True
3162,gadarada,595778,595778.0,ap,ap,True
3163,basuria,595780,595780.0,wb,wb,True
3164,sarauni,595789,595789.0,br,br,True
3165,gadimoga,595793,595793.0,ap,ap,True
3166,baswa,595796,595796.0,wb,wb,True
3167,sarbella,595805,595805.0,br,br,True
3168,gandepalli,595807,595807.0,ap,ap,True
3169,bat tali,595810,595810.0,wb,wb,True
3170,sardiha,595819,595819.0,br,br,True
3171,shankarpur,595834,595834.0,br,br,True
3172,geddanapalli,595836,595836.0,ap,ap,True
3173,bataigole bazar,595840,595840.0,wb,wb,True
3174,simri,595849,595849.0,br,br,True
3175,godilanka,595851,595851.0,ap,ap,True
3176,batasia,595855,595855.0,wb,wb,True
3177,simri bakhtiarpur,595865,595865.0,br,br,True
3178,gogannamatham,595866,595866.0,ap,ap,True
3179,bataspur,595870,595870.0,wb,wb,True
3180,sisauna,595879,595879.0,br,br,True
3181,gollapalem,595881,595881.0,ap,ap,True
3182,bathangachi,595884,595884.0,wb,wb,True
3183,sitamarhi,595894,595894.0,br,br,True
3184,gollavilli,595896,595896.0,ap,ap,True
3185,bathuary,595899,595899.0,wb,wb,True
3186,gondi,595911,595911.0,ap,ap,True
3187,sitanabad,595912,595912.0,br,br,True
3188,batikar,595914,595914.0,wb,wb,True
3189,gopavaram,595925,595925.0,ap,ap,True
3190,sonbersa raj,595927,595927.0,br,br,True
3191,battala,595928,595928.0,wb,wb,True
3192,goraganamudi,595940,595940.0,ap,ap,True
3193,batun,595943,595943.0,wb,wb,True
3194,sondho,595945,595945.0,br,br,True
3195,gorinta,595955,595955.0,ap,ap,True
3196,bautia,595958,595958.0,wb,wb,True
3197,sonpura,595960,595960.0,br,br,True
3198,gorripudi,595972,595972.0,ap,ap,True
3199,bawali,595974,595974.0,wb,wb,True
3200,sour bazar,595975,595975.0,br,br,True
3201,sugma,595986,595986.0,br,br,True
3202,government college,595988,595988.0,ap,ap,True
3203,bawali chandipur,595991,595991.0,wb,wb,True
3204,gudala,596000,596000.0,ap,ap,True
3205,suhath,596001,596001.0,br,br,True
3206,bediadanga,596007,596007.0,wb,wb,True
3207,gudimellanka,596014,596014.0,ap,ap,True
3208,t.m.pal,596017,596017.0,br,br,True
3209,bedibhavan,596021,596021.0,wb,wb,True
3210,gudipatipalli,596027,596027.0,ap,ap,True
3211,telhar,596031,596031.0,br,br,True
3212,begunia,596035,585047.0,od,od,False
3213,gummileru,596042,596042.0,ap,ap,True
3214,telwa,596047,596047.0,br,br,True
3215,bekidanga,596049,596049.0,wb,wb,True
3216,gurazanapalli,596060,596060.0,ap,ap,True
3217,terhi,596061,596061.0,br,br,True
3218,belatisultanpur,596065,596065.0,wb,wb,True
3219,gurrampalem,596076,596076.0,ap,ap,True
3220,tisiuta dharampur,596077,596077.0,br,br,True
3221,belegachi,596079,596079.0,wb,wb,True
3222,uteshra,596089,596089.0,br,br,True
3223,hmt township,596090,596090.0,ts,ts,True
3224,belgachi,596094,596094.0,wb,wb,True
3225,a o bhilai,596103,596103.0,cg,cg,True
3226,hukumpeta,596105,596105.0,ap,ap,True
3227,belhati,596110,596110.0,wb,wb,True
3228,abhanpur,596116,596116.0,cg,cg,True
3229,hussain puram,596121,596121.0,ap,ap,True
3230,belia,596124,596124.0,wb,wb,True
3231,achanakmar,596133,596133.0,cg,cg,True
3232,i.polavaram,596135,596135.0,ap,ap,True
3233,belocoba,596138,596138.0,wb,wb,True
3234,achaud,596145,596145.0,cg,cg,True
3235,ida jeedimetla,596150,596150.0,ts,ts,True
3236,belpahari,596152,596152.0,wb,wb,True
3237,achhoti,596159,596159.0,cg,cg,True
3238,idamakallu,596164,596164.0,ap,ap,True
3239,belpukur,596167,596167.0,wb,wb,True
3240,acholi,596174,596174.0,cg,cg,True
3241,indrapalem,596177,596177.0,ap,ap,True
3242,belta,596180,596180.0,wb,wb,True
3243,adbhar,596189,596189.0,cg,cg,True
3244,indupalli,596193,596193.0,ap,ap,True
3245,benasuli,596195,596195.0,wb,wb,True
3246,adenga,596204,596204.0,cg,cg,True
3247,bendubi,596207,596207.0,wb,wb,True
3248,injaram,596218,596218.0,ap,ap,True
3249,admabad,596219,596219.0,cg,cg,True
3250,benebow,596222,596222.0,wb,wb,True
3251,ippanapadu,596232,596232.0,ap,ap,True
3252,adsena,596234,596234.0,cg,cg,True
3253,bengal enamel,596236,596236.0,wb,wb,True
3254,irripaka,596246,596246.0,ap,ap,True
3255,afrid,596248,596248.0,cg,cg,True
3256,benichak,596249,596249.0,wb,wb,True
3257,irusumanda,596260,596260.0,ap,ap,True
3258,ahilda,596262,596262.0,cg,cg,True
3259,beraberia,596264,596264.0,wb,wb,True
3260,ithakota,596274,596274.0,ap,ap,True
3261,beramara,596275,596275.0,wb,wb,True
