,city,REGION,CITY-NAME,CITY-CODE
4619,nongmynsong,ml,nongmynsong,741117
4620,chinsurah,wb,chinsurah,149373
4621,hasanpura,br,hasanpura,901168
4622,hasanpura,mp,hasanpura,1343847
4623,hasanpura,rj,hasanpura,1348206
4624,hasanpura,up,hasanpura,1351813
4625,chanda,br,chanda,741924
4626,chanda,jh,chanda,1339642
4627,chanda,mh,chanda,726310
4628,chanda,mp,chanda,1343234
4629,chanda,rj,chanda,1347853
4630,chanda,ts,chanda,1349381
4631,chanda,uk,chanda,1354747
4632,chanda,up,chanda,1351048
4633,chanda,wb,chanda,1355578
4634,fatehgarh sahib,pb,fatehgarh sahib,148994
4635,muramanda,ap,muramanda,597687
4636,penukonda,ap,penukonda,943221
4637,lamahi,up,lamahi,923405
4638,balapar,up,balapar,870103
4639,satgachhi,wb,satgachhi,954000
4640,dhoraji,gj,dhoraji,148415
4641,mala,br,mala,1334570
4642,mala,jk,mala,1340560
4643,mala,ka,mala,1340960
4644,mala,kl,mala,148681
4645,mala,mp,mala,1344765
4646,mala,pb,mala,1347094
4647,mala,rj,mala,1348651
4648,mala,uk,mala,1355136
4649,mala,wb,mala,1402491
4650,kuppadi,kl,kuppadi,921470
4651,muradpur,br,muradpur,595571
4652,muradpur,hr,muradpur,1339116
4653,muradpur,jh,muradpur,1340069
4654,muradpur,jk,muradpur,1340595
4655,muradpur,mh,muradpur,1342069
4656,muradpur,mp,muradpur,1344956
4657,muradpur,pb,muradpur,1347165
4658,muradpur,rj,muradpur,1348769
4659,muradpur,up,muradpur,1353166
4660,muradpur,wb,muradpur,602693
4661,perinad,kl,perinad,943283
4662,sarurpur,hr,sarurpur,953810
4663,sarurpur,up,sarurpur,1354066
4664,amwala uparla,uk,amwala uparla,865669
4665,hadmatiya,gj,hadmatiya,1336704
4666,hadmatiya,rj,hadmatiya,899763
4667,badvel,ap,badvel,726040
4668,bindki,up,bindki,879170
4669,salbani,jh,salbani,951567
4670,salbani,wb,salbani,1355874
4671,dwarapudi,ap,dwarapudi,148149
4672,oinam,mn,oinam,938525
4673,harpur,br,harpur,900973
4674,harpur,jh,harpur,1339812
4675,harpur,up,harpur,1351805
4676,civil lines,up,civil lines,886349
4677,dahej,gj,dahej,659290
4678,bhatkal,ka,bhatkal,148568
4679,tummalapalli,ap,tummalapalli,964407
4680,tummalapalli,ts,tummalapalli,1349840
4681,balangir,od,balangir,45705
4682,kudwa,mh,kudwa,920367
4683,gopalapur,ts,gopalapur,1349450
4684,gopalapur,up,gopalapur,897928
4685,karaikudi,tn,karaikudi,149133
4686,ahmadguda,ts,ahmadguda,863847
4687,bagaha,br,bagaha,606735
4688,bagaha,up,bagaha,1350244
4689,penugonda,ap,penugonda,148210
4690,undri,mh,undri,1342443
4691,undri,rj,undri,965516
4692,muriyad,kl,muriyad,933534
4693,badikayalapalle,ap,badikayalapalle,868454
4694,alakode,kl,alakode,864473
4695,pallapur,ka,pallapur,940052
4696,rayalam,ap,rayalam,738380
4697,vadama,ap,vadama,966072
4698,patharwadi,mh,patharwadi,942456
4699,bhatar,rj,bhatar,876753
4700,bhatar,uk,bhatar,1354692
4701,bhatar,wb,bhatar,1355553
4702,telco g.m office,jh,telco g.m office,607347
4703,chanchal,wb,chanchal,882496
4704,gadapur,od,gadapur,1346160
4705,gadapur,pb,gadapur,1346834
4706,gadapur,up,gadapur,893947
4707,digha,br,digha,1334005
4708,digha,hp,digha,1337487
4709,digha,jh,digha,1339717
4710,digha,od,digha,1346150
4711,digha,up,digha,1351414
4712,digha,wb,digha,598836
4713,angerkhowa,as,angerkhowa,600849
4714,mannur,ap,mannur,1333235
4715,mannur,ka,mannur,1340981
4716,mannur,kl,mannur,1341151
4717,mannur,tn,mannur,149157
4718,mannur,ts,mannur,1349638
4719,paleri,kl,paleri,939926
4720,paleri,od,paleri,1346399
4721,drabi,jk,drabi,892261
4722,umarpur,br,umarpur,1335153
4723,umarpur,gj,umarpur,1337058
4724,umarpur,hr,umarpur,1339411
4725,umarpur,mp,umarpur,1345958
4726,umarpur,pb,umarpur,1347430
4727,umarpur,uk,umarpur,1355466
4728,umarpur,up,umarpur,965336
4729,umarpur,wb,umarpur,1355928
4730,marenahalli,ka,marenahalli,929513
4731,tirupur,tn,tirupur,149217
4732,gingee,tn,gingee,149122
4733,chomu,rj,chomu,885912
4734,kaithal,hr,kaithal,256281
4735,kaithal,up,kaithal,1352121
4736,kollur,ka,kollur,148603
4737,kollur,tn,kollur,1349904
4738,kollur,ts,kollur,1349547
4739,barjala,tr,barjala,872783
4740,naroda,gj,naroda,148448
4741,naroda,mp,naroda,1345044
4742,champasari,wb,champasari,597518
4743,kaliyanur,tn,kaliyanur,909293
4744,baligaon,as,baligaon,601537
4745,baligaon,br,baligaon,1333624
4746,pathankot,pb,pathankot,64012
4747,sumerpur,mp,sumerpur,1345788
4748,sumerpur,rj,sumerpur,726488
4749,sumerpur,up,sumerpur,1354313
4750,vedayapalem,ap,vedayapalem,966761
4751,gollakuppam,tn,gollakuppam,897681
4752,parner,mh,parner,726342
4753,reru,hp,reru,1338177
4754,reru,pb,reru,949420
4755,karaikalmedu,py,karaikalmedu,586125
4756,macharam,ts,macharam,925060
4757,gupteshwar,mp,gupteshwar,899322
4758,bina,br,bina,1333815
4759,bina,hp,bina,1337298
4760,bina,mh,bina,1341381
4761,bina,mp,bina,256337
4762,bina,uk,bina,1354721
4763,naruana,pb,naruana,936459
4764,devlai,mh,devlai,889131
4765,devrukh,mh,devrukh,889156
4766,ratanpura,br,ratanpura,948726
4767,ratanpura,hr,ratanpura,1339249
4768,ratanpura,jh,ratanpura,1340205
4769,ratanpura,mp,ratanpura,1345431
4770,ratanpura,rj,ratanpura,1349006
4771,ratanpura,uk,ratanpura,1355330
4772,ratanpura,up,ratanpura,1353835
4773,salgaon,ka,salgaon,1341060
4774,salgaon,mh,salgaon,664979
4775,salgaon,od,salgaon,1346460
4776,salgaon,rj,salgaon,1349054
4777,nandikotkur,ap,nandikotkur,148190
4778,elandakuttai,tn,elandakuttai,893368
4779,karsan,up,karsan,912421
4780,pen,mh,pen,256340
4781,asangaon,mh,asangaon,867123
4782,gadala,ap,gadala,595762
4783,gadala,uk,gadala,1354856
4784,tera,gj,tera,1337046
4785,tera,uk,tera,1355445
4786,tera,up,tera,962227
4787,nagireddipalle,ap,nagireddipalle,934354
4788,nagireddipalle,ts,nagireddipalle,1349673
4789,mangaldoi,as,mangaldoi,248502
