States,city,citygroup,Source
West Bengal,Barabazar,Kolkata,Quantum
West Bengal,Tollygunge,Kolkata,Quantum
West Bengal,Kamarhati,Kolkata,Hotstar
West Bengal,Baranagar,Kolkata,Hotstar
West Bengal,Bankra,Kolkata,Hotstar
West Bengal,Hooghly,Kolkata,Hotstar
West Bengal,Konnagar,Kolkata,Hotstar
West Bengal,Uttarpara,Kolkata,Hotstar
West Bengal,Rajarhat Gopalpur,Kolkata,Hotstar
West Bengal,Uluberia,Kolkata,Hotstar
West Bengal,Bankra,Kolkata,Hotstar
West Bengal,Krishnapur,Kolkata,Hotstar
West Bengal,Srirampur,Kolkata,Hotstar
West Bengal,Dhapa,Kolkata,Hotstar
West Bengal,Chakpanchuria,Kolkata,Hotstar
West Bengal,Begampur,Kolkata,Hotstar
West Bengal,Michealnagar,Kolkata,Hotstar
West Bengal,Naihati,Kolkata,Hotstar
West Bengal,Haripal,Kolkata,Hotstar
West Bengal,Hasnabad,Kolkata,Hotstar
West Bengal,Sultanganj,Kolkata,Hotstar
West Bengal,Shyamnagar,Kolkata,Hotstar
West Bengal,Korachandigarh,Kolkata,Hotstar
West Bengal,Ganganagar,Kolkata,Hotstar
West Bengal,Subhas Gram,Kolkata,Hotstar
West Bengal,Halishahar,Kolkata,Hotstar
West Bengal,Chandannagar,Kolkata,Hotstar
West Bengal,Abad Kuliadanga,Kolkata,Hotstar
West Bengal,Sarada,Kolkata,Hotstar
West Bengal,Chandra,Kolkata,Hotstar
West Bengal,Kalyani,Kolkata,Hotstar
West Bengal,Rishra,Kolkata,Hotstar
West Bengal,Bagnan,Kolkata,Hotstar
West Bengal,Hridaypur,Kolkata,Hotstar
West Bengal,Habra,Kolkata,Hotstar
West Bengal,Serampore,Kolkata,Hotstar
West Bengal,Akanda Danga,Kolkata,Hotstar
West Bengal,Baidyabati,Kolkata,Hotstar
West Bengal,Madanpur,Kolkata,Hotstar
West Bengal,Nimta,Kolkata,Hotstar
Uttar Pradesh,Aliganj,Lucknow,JC - Cohort service
