"id","name","netacuity_id","targeting_tag","state_id"
51019586,Chennai,"19586",CITY_CHENNAI,52010036
51019995,Chitradurga,"19995",CITY_CHITRADURGA,52010011
51019997,Thanjavur,"19997",CITY_THANJAVUR,52010036
51020019,Thiruvananthapuram,"20019",CITY_THIRUVANANTHAPURAM,52010018
51033580,Jakhau,"33580",CITY_JAKHAU,52010002
51034785,Mumbai,"34785",CITY_MUMBAI,52001320
51039542,Visakhapatnam,"39542",CITY_VISAKHAPATNAM,52009994
51039767,Jaipur,"39767",CITY_JAIPUR,52010035
51039788,Gondia,"39788",CITY_GONDIA,52001320
51039922,Ghaziabad,"39922",CITY_GHAZIABAD,52010044
51040344,Noida,"40344",CITY_NOIDA,52010044
51041467,Erode,"41467",CITY_ERODE,52010036
51041469,Haridwar,"41469",CITY_HARIDWAR,52028102
51043193,Jamshedpur,"43193",CITY_JAMSHEDPUR,52028057
51043814,Panipat,"43814",CITY_PANIPAT,52010008
51043815,Indore,"43815",CITY_INDORE,52010027
51043816,Periyakulam,"43816",CITY_PERIYAKULAM,52010036
51043818,Jabalpur,"43818",CITY_JABALPUR,52010027
51043835,Jamnagar,"43835",CITY_JAMNAGAR,52010002
51044106,Haldwani,"44106",CITY_HALDWANI,52028102
51044155,Sangrur,"44155",CITY_SANGRUR,52010031
51044437,Rajkot,"44437",CITY_RAJKOT,52010002
51044438,Nellore,"44438",CITY_NELLORE,52009994
51044587,Salem,"44587",CITY_SALEM,52010036
51044614,Kakinada,"44614",CITY_KAKINADA,52009994
51044617,Jammu,"44617",CITY_JAMMU,52018194
51044750,Tirunelveli,"44750",CITY_TIRUNELVELI,52010036
51044963,Manaparai,"44963",CITY_MANAPARAI,52010036
51045106,Kalyan City,"45106",CITY_KALYAN_CITY,52001320
51045419,Bidar,"45419",CITY_BIDAR,52010011
51045705,Balangir,"45705",CITY_BALANGIR,52010030
51045706,Karnal,"45706",CITY_KARNAL,52010008
51047558,Surathkal,"47558",CITY_SURATHKAL,52010011
51047871,Bareilly,"47871",CITY_BAREILLY,52010044
51048163,Jalandhar City,"48163",CITY_JALANDHAR_CITY,52010031
51048259,Amalner,"48259",CITY_AMALNER,52001320
51048260,Madanapalle,"48260",CITY_MADANAPALLE,52009994
51048261,Chittoor,"48261",CITY_CHITTOOR,52009994
51048262,Proddatur,"48262",CITY_PRODDATUR,52009994
51048285,Dharmapuri,"48285",CITY_DHARMAPURI,52010036
51048286,Hassan,"48286",CITY_HASSAN,52010011
51048287,Hisar,"48287",CITY_HISAR,52010008
51048288,Sikar,"48288",CITY_SIKAR,52010035
51048290,Nandurbar,"48290",CITY_NANDURBAR,52001320
51048291,Mahbubnagar,"48291",CITY_MAHBUBNAGAR,52033962
51048292,Belpara,"48292",CITY_BELPARA,52010030
51048293,Raichur,"48293",CITY_RAICHUR,52010011
51048294,Gulbarga,"48294",CITY_GULBARGA,52010011
51048301,Port Blair,"48301",CITY_PORT_BLAIR,52009992
51048431,Wardha,"48431",CITY_WARDHA,52001320
51048432,Bathinda,"48432",CITY_BATHINDA,52010031
51048446,Ajmer,"48446",CITY_AJMER,52010035
51048447,Bhilwara,"48447",CITY_BHILWARA,52010035
51048471,Nashik,"48471",CITY_NASHIK,52001320
51048561,Adilabad,"48561",CITY_ADILABAD,52033962
51048563,Rajahmundry,"48563",CITY_RAJAHMUNDRY,52009994
51048596,Karwar,"48596",CITY_KARWAR,52010011
51048597,Sambalpur,"48597",CITY_SAMBALPUR,52010030
51048598,Moradabad,"48598",CITY_MORADABAD,52010044
51048601,Jodhpur,"48601",CITY_JODHPUR,52010035
51048603,Ranchi,"48603",CITY_RANCHI,52028057
51048778,Virudhunagar,"48778",CITY_VIRUDHUNAGAR,52010036
51051061,Ujjain,"51061",CITY_UJJAIN,52010027
51051160,Hosur,"51160",CITY_HOSUR,52010036
51051274,Bhavnagar,"51274",CITY_BHAVNAGAR,52010002
51061066,Mokokchung,"61066",CITY_MOKOKCHUNG,52024792
51061067,Kohima,"61067",CITY_KOHIMA,52024792
51061068,Dimapur,"61068",CITY_DIMAPUR,52024792
51061073,Anandnagar,"61073",CITY_ANANDNAGAR,52010044
51062559,Daman,"62559",CITY_DAMAN,52024799
51062560,Diu,"62560",CITY_DIU,52024799
51062562,Aizawl,"62562",CITY_AIZAWL,52024800
51062564,Kavaratti,"62564",CITY_KAVARATTI,52024801
51062566,Silvassa,"62566",CITY_SILVASSA,52024802
51062568,Imphal,"62568",CITY_IMPHAL,52024803
51062570,Gangtok,"62570",CITY_GANGTOK,52024804
51062580,Cuttack,"62580",CITY_CUTTACK,52010030
51062584,Patiala,"62584",CITY_PATIALA,52010031
51062588,Ernakulam,"62588",CITY_ERNAKULAM,52010018
51062593,Malappuram,"62593",CITY_MALAPPURAM,52010018
51062594,Kollam,"62594",CITY_KOLLAM,52010018
51062601,Nabha,"62601",CITY_NABHA,52010031
51062605,Namakkal,"62605",CITY_NAMAKKAL,52010036
51062606,Bhilai,"62606",CITY_BHILAI,52028058
51062745,Khanna,"62745",CITY_KHANNA,52010031
51062747,Tuljapur,"62747",CITY_TULJAPUR,52001320
51062750,Panaji,"62750",CITY_PANAJI,52023819
51062751,Bokaro Steel City,"62751",CITY_BOKARO_STEEL_CITY,52028057
